trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
211,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",3,0
212,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",3,0
213,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",6,0
214,pilot ,10,1,1,1,11,2,2,1,"[-1, 0] ",6,0
215,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",3,0
216,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",9,0
217,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",9,0
218,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",9,0
219,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",3,0
220,pilot ,10,1,2,0,12,2,1,0,"[-1, 0] ",9,0
221,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",9,0
222,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",3,0
223,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",3,0
224,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",3,0
225,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",6,0
226,pilot ,10,1,2,0,13,2,1,0,"[1, 0] ",6,0
227,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",3,0
228,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",9,0
229,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",3,0
230,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",3,0
231,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",6,0
232,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",9,0
233,pilot ,20,1,2,0,22,2,1,0,"[-1, 0] ",9,0
234,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",9,0
235,pilot ,20,1,2,0,23,2,1,0,"[-1, 0] ",6,0
236,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",9,0
237,pilot ,20,1,2,0,20,2,1,0,"[-1, 0] ",6,0
238,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",9,0
239,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",6,0
240,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",6,0
241,pilot ,20,1,2,0,22,2,1,0,"[-1, 0] ",6,0
242,pilot ,20,1,1,1,21,2,2,1,"[-1, 0] ",3,0
243,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",9,0
