experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	ltrSpatialPos1	ltrEccentricity1	timingBlips
RSVP_central_cue_between_letter_presentation 	112 	16 	 T1 	 0.0 	14 	C 	Q 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	113 	16 	 T1 	 0.0 	18 	V 	J 	0.0 	1.0 	[1, 0] 	3.0 	1
RSVP_central_cue_between_letter_presentation 	114 	16 	 T1 	 0.0 	10 	A 	V 	0.0 	-3.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	115 	16 	 T1 	 0.0 	14 	L 	T 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	116 	16 	 T1 	 0.0 	18 	J 	J 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	117 	16 	 T1 	 0.0 	14 	V 	T 	0.0 	-4.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	118 	16 	 T1 	 0.0 	14 	L 	R 	0.0 	-11.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	119 	16 	 T1 	 0.0 	6 	F 	J 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	120 	16 	 T1 	 0.0 	14 	D 	X 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	121 	16 	 T1 	 0.0 	18 	S 	T 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	122 	16 	 T1 	 0.0 	22 	U 	Q 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	123 	16 	 T1 	 0.0 	14 	Q 	P 	0.0 	-5.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	124 	16 	 T1 	 0.0 	22 	P 	P 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	125 	16 	 T1 	 0.0 	22 	B 	B 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	126 	16 	 T1 	 0.0 	6 	C 	U 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	127 	16 	 T1 	 0.0 	6 	J 	X 	0.0 	-4.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	128 	16 	 T1 	 0.0 	22 	V 	V 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	129 	16 	 T1 	 0.0 	22 	M 	S 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	130 	16 	 T1 	 0.0 	6 	M 	Z 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	131 	16 	 T1 	 0.0 	6 	T 	X 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	132 	16 	 T1 	 0.0 	14 	X 	B 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	133 	16 	 T1 	 0.0 	10 	E 	W 	0.0 	-10.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	134 	16 	 T1 	 0.0 	22 	R 	R 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	135 	16 	 T1 	 0.0 	18 	M 	S 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	136 	16 	 T1 	 0.0 	10 	R 	M 	0.0 	-2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	137 	16 	 T1 	 0.0 	14 	I 	W 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	138 	16 	 T1 	 0.0 	6 	I 	I 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	139 	16 	 T1 	 0.0 	6 	Z 	R 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	140 	16 	 T1 	 0.0 	14 	T 	J 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	141 	16 	 T1 	 0.0 	22 	I 	R 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	142 	16 	 T1 	 0.0 	6 	E 	M 	0.0 	8.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	143 	16 	 T1 	 0.0 	10 	G 	S 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	144 	16 	 T1 	 0.0 	10 	U 	U 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	145 	16 	 T1 	 0.0 	18 	Q 	A 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	146 	16 	 T1 	 0.0 	14 	Y 	M 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	147 	16 	 T1 	 0.0 	22 	O 	R 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	148 	16 	 T1 	 0.0 	10 	H 	W 	0.0 	-3.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	149 	16 	 T1 	 0.0 	22 	I 	X 	0.0 	-1.0 	[1, 0] 	10.0 	0
