experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,ltrSpatialPos1,ltrEccentricity1,timingBlips
RSVP_central_cue_between_letter_presentation ,77 ,1 , T1 , 0.0 ,10 ,R ,T ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,78 ,1 , T1 , 0.0 ,22 ,W ,T ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,79 ,1 , T1 , 0.0 ,14 ,J ,J ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,80 ,1 , T1 , 0.0 ,6 ,L ,M ,0.0 ,13.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,81 ,1 , T1 , 0.0 ,10 ,C ,U ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,82 ,1 , T1 , 0.0 ,10 ,H ,N ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,83 ,1 , T1 , 0.0 ,10 ,B ,K ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,84 ,1 , T1 , 0.0 ,18 ,Q ,Y ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,85 ,1 , T1 , 0.0 ,10 ,D ,Y ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,86 ,1 , T1 , 0.0 ,10 ,N ,S ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,87 ,1 , T1 , 0.0 ,10 ,M ,M ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,88 ,1 , T1 , 0.0 ,14 ,D ,F ,0.0 ,3.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,89 ,1 , T1 , 0.0 ,6 ,X ,Q ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,90 ,1 , T1 , 0.0 ,6 ,J ,T ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,91 ,1 , T1 , 0.0 ,18 ,D ,D ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,92 ,1 , T1 , 0.0 ,22 ,U ,U ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,93 ,1 , T1 , 0.0 ,22 ,H ,V ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,94 ,1 , T1 , 0.0 ,18 ,J ,S ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,95 ,1 , T1 , 0.0 ,22 ,C ,D ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,96 ,1 , T1 , 0.0 ,14 ,A ,Y ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,97 ,1 , T1 , 0.0 ,10 ,Z ,Y ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,98 ,1 , T1 , 0.0 ,14 ,D ,P ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,99 ,1 , T1 , 0.0 ,18 ,M ,U ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,100 ,1 , T1 , 0.0 ,6 ,B ,M ,0.0 ,-6.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,101 ,1 , T1 , 0.0 ,22 ,J ,J ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,102 ,1 , T1 , 0.0 ,22 ,G ,P ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,103 ,1 , T1 , 0.0 ,22 ,H ,K ,0.0 ,3.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,104 ,1 , T1 , 0.0 ,22 ,L ,D ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,105 ,1 , T1 , 0.0 ,18 ,N ,A ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,106 ,1 , T1 , 0.0 ,22 ,R ,H ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,107 ,1 , T1 , 0.0 ,14 ,D ,B ,0.0 ,3.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,108 ,1 , T1 , 0.0 ,14 ,J ,J ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
