experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	40 	Adi 	 T1T2 	 0.0 	6 	U 	W 	0.0 	4.0 	14 	B 	B 	1.0 	0.0 	0
main	41 	Adi 	 T1T2 	 0.0 	6 	C 	Z 	0.0 	1.0 	8 	L 	S 	0.0 	-5.0 	0
main	42 	Adi 	 T1T2 	 0.0 	6 	F 	R 	0.0 	1.0 	16 	Q 	J 	0.0 	1.0 	0
main	43 	Adi 	 T1T2 	 0.0 	6 	S 	S 	1.0 	0.0 	11 	R 	B 	0.0 	1.0 	0
main	44 	Adi 	 T1T2 	 0.0 	6 	Z 	Z 	1.0 	0.0 	7 	U 	U 	1.0 	0.0 	0
main	45 	Adi 	 T1T2 	 0.0 	8 	B 	Z 	0.0 	1.0 	16 	M 	M 	1.0 	0.0 	0
main	46 	Adi 	 T1T2 	 0.0 	8 	E 	S 	0.0 	-3.0 	10 	O 	V 	0.0 	2.0 	0
main	47 	Adi 	 T1T2 	 0.0 	8 	P 	P 	1.0 	0.0 	18 	Z 	Z 	1.0 	0.0 	0
main	48 	Adi 	 T1T2 	 0.0 	8 	W 	W 	1.0 	0.0 	13 	V 	Q 	0.0 	1.0 	0
main	49 	Adi 	 T1T2 	 0.0 	8 	B 	S 	0.0 	-1.0 	9 	G 	U 	0.0 	1.0 	0
main	50 	Adi 	 T1T2 	 0.0 	14 	X 	B 	0.0 	1.0 	22 	K 	K 	1.0 	0.0 	0
main	51 	Adi 	 T1T2 	 0.0 	14 	G 	D 	0.0 	-2.0 	16 	W 	G 	0.0 	-2.0 	0
main	52 	Adi 	 T1T2 	 0.0 	14 	Y 	K 	0.0 	1.0 	24 	F 	F 	1.0 	0.0 	0
main	53 	Adi 	 T1T2 	 0.0 	14 	K 	W 	0.0 	1.0 	19 	I 	A 	0.0 	3.0 	0
main	54 	Adi 	 T1T2 	 0.0 	14 	D 	J 	0.0 	1.0 	15 	J 	D 	0.0 	-1.0 	0
main	55 	Adi 	 T1T2 	 0.0 	10 	V 	A 	0.0 	2.0 	18 	S 	S 	1.0 	0.0 	0
main	56 	Adi 	 T1T2 	 0.0 	10 	V 	W 	0.0 	-10.0 	12 	Y 	X 	0.0 	-1.0 	0
main	57 	Adi 	 T1T2 	 0.0 	10 	O 	G 	0.0 	1.0 	20 	L 	S 	0.0 	1.0 	0
main	58 	Adi 	 T1T2 	 0.0 	10 	G 	G 	1.0 	0.0 	15 	M 	P 	0.0 	1.0 	0
main	59 	Adi 	 T1T2 	 0.0 	10 	G 	C 	0.0 	7.0 	11 	O 	G 	0.0 	-1.0 	0
main	60 	Adi 	 T1T2 	 0.0 	6 	D 	W 	0.0 	6.0 	14 	C 	S 	0.0 	5.0 	0
main	61 	Adi 	 T1T2 	 0.0 	6 	F 	W 	0.0 	12.0 	8 	R 	A 	0.0 	-6.0 	0
main	62 	Adi 	 T1T2 	 0.0 	6 	T 	L 	0.0 	2.0 	16 	G 	R 	0.0 	-14.0 	0
main	63 	Adi 	 T1T2 	 0.0 	6 	Q 	A 	0.0 	3.0 	11 	W 	C 	0.0 	-6.0 	0
main	64 	Adi 	 T1T2 	 0.0 	6 	F 	G 	0.0 	-1.0 	7 	S 	S 	1.0 	0.0 	0
main	65 	Adi 	 T1T2 	 0.0 	8 	Z 	U 	0.0 	1.0 	16 	M 	M 	1.0 	0.0 	0
main	66 	Adi 	 T1T2 	 0.0 	8 	O 	A 	0.0 	3.0 	10 	Z 	S 	0.0 	-10.0 	0
main	67 	Adi 	 T1T2 	 0.0 	8 	H 	B 	0.0 	1.0 	18 	M 	M 	1.0 	0.0 	0
main	68 	Adi 	 T1T2 	 0.0 	8 	R 	J 	0.0 	-8.0 	13 	C 	G 	0.0 	-11.0 	0
main	69 	Adi 	 T1T2 	 0.0 	8 	K 	R 	0.0 	7.0 	9 	S 	S 	1.0 	0.0 	0
main	70 	Adi 	 T1T2 	 0.0 	14 	X 	M 	0.0 	-14.0 	22 	C 	C 	1.0 	0.0 	0
main	71 	Adi 	 T1T2 	 0.0 	14 	N 	J 	0.0 	-1.0 	16 	G 	S 	0.0 	1.0 	0
main	72 	Adi 	 T1T2 	 0.0 	14 	T 	G 	0.0 	4.0 	24 	D 	F 	0.0 	-8.0 	0
main	73 	Adi 	 T1T2 	 0.0 	14 	F 	U 	0.0 	-1.0 	19 	M 	S 	0.0 	1.0 	0
main	74 	Adi 	 T1T2 	 0.0 	14 	L 	A 	0.0 	1.0 	15 	A 	S 	0.0 	-3.0 	0
main	75 	Adi 	 T1T2 	 0.0 	10 	R 	W 	0.0 	-4.0 	18 	D 	C 	0.0 	2.0 	0
main	76 	Adi 	 T1T2 	 0.0 	10 	Q 	M 	0.0 	-1.0 	12 	K 	R 	0.0 	-1.0 	0
main	77 	Adi 	 T1T2 	 0.0 	10 	Q 	S 	0.0 	-3.0 	20 	X 	N 	0.0 	1.0 	0
main	78 	Adi 	 T1T2 	 0.0 	10 	Q 	Q 	1.0 	0.0 	15 	X 	N 	0.0 	2.0 	0
main	79 	Adi 	 T1T2 	 0.0 	10 	K 	D 	0.0 	-9.0 	11 	V 	K 	0.0 	-1.0 	0
