experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size 	10 	Adi 	 T1 	14 	[-1, 0] 	3.0 	A 	S 	T 	E 	Q 	C 	K 	D 	M 	R 	L 	N 	X 	Y 	W 	Z 	H 	P 	B 	F 	I 	G 	U 	J 	O 	V 	U 	N 	H 	F 	E 	P 	R 	M 	W 	G 	B 	C 	Q 	  	O 	X 	T 	J 	D 	A 	K 	S 	Y 	V 	Z 	L 	0
RSVP_two_streams_bigger_cue_size 	11 	Adi 	 T1 	14 	[-1, 0] 	10.0 	T 	Y 	E 	W 	M 	V 	C 	S 	B 	P 	A 	L 	X 	Z 	G 	I 	H 	R 	N 	Q 	O 	K 	D 	U 	J 	F 	I 	Z 	C 	L 	J 	M 	X 	V 	O 	N 	F 	Q 	R 	  	D 	P 	U 	T 	S 	Y 	G 	E 	K 	A 	H 	W 	0
RSVP_two_streams_bigger_cue_size 	12 	Adi 	 T1 	22 	[-1, 0] 	3.0 	E 	T 	H 	Z 	O 	Y 	W 	R 	P 	F 	Q 	C 	U 	D 	M 	A 	B 	G 	J 	I 	S 	N 	X 	L 	V 	K 	N 	V 	K 	L 	D 	W 	X 	O 	Z 	F 	M 	S 	U 	I 	G 	B 	Q 	Y 	T 	H 	P 	  	J 	E 	R 	A 	0
RSVP_two_streams_bigger_cue_size 	13 	Adi 	 T1 	18 	[-1, 0] 	10.0 	L 	U 	Q 	K 	F 	C 	T 	W 	B 	O 	N 	P 	R 	Y 	M 	S 	H 	Z 	E 	V 	J 	I 	D 	A 	G 	X 	I 	V 	F 	P 	R 	Q 	M 	A 	O 	B 	S 	E 	D 	G 	U 	Y 	T 	  	J 	Z 	K 	H 	W 	L 	C 	X 	0
RSVP_two_streams_bigger_cue_size 	14 	Adi 	 T1 	6 	[1, 0] 	3.0 	A 	P 	X 	U 	L 	Q 	S 	K 	N 	I 	Z 	C 	J 	M 	D 	E 	Y 	T 	R 	W 	B 	H 	V 	O 	F 	G 	C 	N 	X 	G 	Y 	  	W 	B 	D 	O 	V 	I 	S 	Q 	M 	H 	K 	E 	P 	R 	U 	T 	J 	Z 	L 	F 	0
RSVP_two_streams_bigger_cue_size 	15 	Adi 	 T1 	18 	[-1, 0] 	3.0 	N 	C 	Y 	E 	L 	Q 	U 	H 	B 	Z 	I 	J 	K 	G 	P 	T 	D 	V 	R 	A 	W 	X 	F 	O 	M 	S 	D 	G 	Q 	Z 	X 	S 	R 	I 	P 	C 	K 	E 	Y 	B 	L 	V 	N 	  	O 	A 	U 	W 	F 	J 	M 	T 	0
RSVP_two_streams_bigger_cue_size 	16 	Adi 	 T1 	10 	[-1, 0] 	10.0 	C 	Q 	Y 	R 	F 	B 	K 	G 	N 	E 	M 	U 	D 	V 	Z 	X 	J 	T 	S 	L 	O 	W 	P 	H 	A 	I 	X 	S 	T 	D 	O 	W 	M 	E 	K 	  	G 	P 	B 	Q 	A 	H 	F 	Z 	N 	R 	C 	Y 	U 	V 	L 	J 	0
RSVP_two_streams_bigger_cue_size 	17 	Adi 	 T1 	18 	[-1, 0] 	3.0 	M 	D 	W 	F 	H 	A 	O 	P 	R 	N 	C 	K 	E 	Q 	L 	S 	X 	I 	U 	T 	B 	Y 	V 	Z 	G 	J 	O 	H 	Z 	G 	S 	A 	N 	V 	P 	Q 	E 	M 	J 	Y 	I 	W 	C 	  	X 	F 	B 	R 	U 	K 	D 	L 	0
RSVP_two_streams_bigger_cue_size 	18 	Adi 	 T1 	18 	[1, 0] 	10.0 	Q 	D 	H 	F 	L 	Y 	A 	S 	W 	K 	U 	P 	T 	N 	E 	Z 	V 	C 	G 	M 	X 	R 	J 	I 	O 	B 	L 	Z 	K 	Q 	Y 	P 	S 	D 	M 	E 	X 	W 	B 	F 	J 	O 	C 	  	U 	G 	V 	H 	I 	A 	N 	R 	0
RSVP_two_streams_bigger_cue_size 	19 	Adi 	 T1 	14 	[-1, 0] 	10.0 	T 	K 	M 	U 	Y 	E 	X 	R 	C 	O 	V 	B 	Q 	Z 	I 	A 	N 	J 	H 	L 	D 	F 	P 	G 	S 	W 	W 	J 	Y 	E 	A 	H 	L 	K 	B 	T 	Z 	C 	O 	  	U 	D 	V 	S 	X 	I 	M 	Q 	G 	F 	R 	P 	0
RSVP_two_streams_bigger_cue_size 	20 	Adi 	 T1 	18 	[1, 0] 	10.0 	F 	A 	D 	K 	E 	B 	R 	O 	M 	Q 	U 	G 	N 	W 	Z 	I 	X 	H 	C 	S 	T 	L 	V 	J 	P 	Y 	M 	G 	S 	H 	N 	U 	V 	D 	X 	O 	I 	J 	Y 	B 	K 	E 	Z 	  	W 	Q 	F 	C 	P 	R 	L 	T 	0
RSVP_two_streams_bigger_cue_size 	21 	Adi 	 T1 	14 	[-1, 0] 	3.0 	U 	S 	D 	K 	C 	O 	I 	H 	W 	L 	F 	E 	M 	R 	Q 	X 	J 	V 	P 	G 	A 	B 	T 	Z 	Y 	N 	Q 	E 	M 	V 	Y 	F 	B 	N 	X 	O 	A 	J 	T 	  	S 	G 	W 	C 	L 	K 	U 	H 	I 	P 	D 	R 	0
RSVP_two_streams_bigger_cue_size 	22 	Adi 	 T1 	22 	[-1, 0] 	3.0 	J 	W 	I 	R 	T 	K 	H 	S 	M 	A 	F 	V 	E 	Y 	C 	B 	X 	U 	N 	O 	D 	L 	Q 	G 	P 	Z 	K 	L 	J 	S 	D 	Z 	T 	A 	C 	N 	Q 	V 	F 	E 	U 	Y 	B 	H 	M 	R 	O 	  	G 	P 	X 	W 	0
RSVP_two_streams_bigger_cue_size 	23 	Adi 	 T1 	6 	[-1, 0] 	10.0 	S 	K 	G 	V 	I 	Z 	D 	Q 	M 	A 	U 	W 	H 	T 	X 	C 	O 	F 	J 	B 	L 	R 	E 	P 	Y 	N 	T 	O 	R 	H 	Y 	  	G 	F 	Q 	E 	L 	D 	K 	V 	C 	N 	S 	W 	B 	P 	A 	U 	I 	Z 	M 	J 	0
RSVP_two_streams_bigger_cue_size 	24 	Adi 	 T1 	14 	[1, 0] 	3.0 	F 	L 	R 	T 	G 	V 	O 	J 	Y 	W 	X 	C 	H 	U 	M 	E 	S 	I 	Z 	A 	P 	D 	N 	B 	Q 	K 	S 	V 	C 	Q 	Z 	F 	U 	I 	E 	B 	O 	G 	T 	  	J 	Y 	N 	P 	M 	X 	A 	H 	L 	W 	K 	R 	0
RSVP_two_streams_bigger_cue_size 	25 	Adi 	 T1 	22 	[1, 0] 	3.0 	D 	W 	V 	G 	K 	N 	B 	M 	E 	F 	X 	O 	Y 	R 	L 	C 	J 	U 	A 	Q 	I 	P 	T 	S 	Z 	H 	C 	Q 	I 	J 	V 	M 	F 	D 	S 	W 	X 	O 	H 	E 	Y 	A 	L 	T 	B 	P 	R 	  	G 	U 	N 	Z 	1
RSVP_two_streams_bigger_cue_size 	26 	Adi 	 T1 	14 	[1, 0] 	3.0 	U 	A 	E 	Y 	H 	I 	T 	X 	C 	G 	M 	V 	P 	Q 	W 	Z 	S 	L 	D 	K 	F 	O 	R 	B 	N 	J 	G 	T 	Z 	W 	J 	D 	S 	N 	B 	K 	L 	R 	M 	  	U 	O 	H 	C 	Y 	F 	V 	Q 	A 	I 	P 	X 	0
RSVP_two_streams_bigger_cue_size 	27 	Adi 	 T1 	14 	[-1, 0] 	3.0 	F 	O 	P 	G 	H 	B 	Y 	I 	U 	J 	C 	D 	E 	X 	M 	K 	T 	L 	S 	N 	R 	W 	A 	Z 	V 	Q 	E 	Z 	C 	Q 	O 	H 	J 	V 	G 	F 	P 	M 	K 	  	T 	R 	B 	W 	N 	X 	I 	U 	A 	Y 	D 	S 	0
RSVP_two_streams_bigger_cue_size 	28 	Adi 	 T1 	6 	[1, 0] 	3.0 	V 	C 	N 	B 	H 	O 	E 	R 	P 	I 	U 	L 	Y 	M 	T 	S 	W 	G 	Z 	X 	K 	D 	J 	Q 	F 	A 	H 	W 	T 	L 	Z 	  	E 	P 	D 	N 	I 	O 	C 	Q 	U 	V 	Y 	S 	G 	F 	K 	B 	A 	R 	X 	M 	0
RSVP_two_streams_bigger_cue_size 	29 	Adi 	 T1 	22 	[1, 0] 	10.0 	D 	R 	K 	S 	A 	H 	Z 	V 	I 	T 	N 	O 	X 	E 	G 	W 	C 	B 	F 	L 	M 	J 	P 	Y 	U 	Q 	U 	Z 	A 	N 	E 	S 	G 	I 	L 	Y 	X 	C 	F 	H 	D 	W 	V 	M 	Q 	B 	R 	  	T 	K 	P 	O 	0
RSVP_two_streams_bigger_cue_size 	30 	Adi 	 T1 	6 	[-1, 0] 	10.0 	V 	B 	H 	F 	Y 	R 	O 	L 	N 	Q 	P 	Z 	K 	T 	W 	D 	X 	A 	S 	G 	E 	C 	J 	M 	I 	U 	Q 	N 	S 	F 	G 	  	I 	K 	R 	E 	X 	L 	O 	Y 	A 	P 	J 	M 	H 	U 	W 	B 	D 	T 	C 	Z 	0
RSVP_two_streams_bigger_cue_size 	31 	Adi 	 T1 	18 	[1, 0] 	3.0 	A 	M 	V 	H 	F 	E 	N 	R 	W 	Q 	I 	Y 	G 	S 	C 	L 	D 	B 	J 	P 	K 	T 	U 	X 	O 	Z 	A 	M 	T 	G 	Q 	W 	I 	N 	D 	S 	R 	L 	J 	Y 	F 	X 	H 	  	B 	U 	Z 	V 	C 	K 	O 	P 	0
RSVP_two_streams_bigger_cue_size 	32 	Adi 	 T1 	10 	[-1, 0] 	3.0 	S 	Q 	F 	T 	K 	H 	N 	J 	I 	O 	M 	A 	P 	L 	D 	E 	B 	V 	X 	W 	C 	Z 	G 	Y 	R 	U 	F 	H 	K 	S 	L 	R 	A 	J 	Y 	  	Z 	E 	N 	C 	I 	O 	X 	B 	P 	W 	Q 	T 	D 	M 	G 	V 	0
RSVP_two_streams_bigger_cue_size 	33 	Adi 	 T1 	18 	[-1, 0] 	10.0 	L 	V 	P 	Q 	H 	C 	D 	X 	T 	K 	E 	N 	O 	W 	J 	R 	U 	Y 	Z 	F 	I 	B 	A 	S 	M 	G 	F 	V 	Y 	C 	W 	O 	U 	E 	B 	A 	T 	D 	Q 	M 	Z 	I 	H 	  	P 	X 	G 	J 	N 	L 	K 	S 	0
RSVP_two_streams_bigger_cue_size 	34 	Adi 	 T1 	10 	[-1, 0] 	10.0 	S 	W 	U 	D 	C 	H 	I 	X 	J 	A 	Z 	G 	O 	M 	P 	B 	V 	K 	N 	E 	T 	Y 	Q 	R 	L 	F 	F 	Y 	K 	S 	R 	A 	H 	Z 	N 	  	D 	G 	B 	T 	U 	E 	I 	O 	J 	M 	W 	C 	V 	P 	Q 	X 	0
RSVP_two_streams_bigger_cue_size 	35 	Adi 	 T1 	14 	[1, 0] 	10.0 	Q 	E 	T 	D 	N 	X 	Y 	C 	U 	S 	O 	K 	J 	H 	V 	A 	R 	W 	F 	L 	M 	G 	P 	Z 	B 	I 	C 	V 	I 	U 	S 	R 	T 	O 	N 	P 	E 	X 	A 	  	J 	Y 	Z 	W 	H 	B 	K 	D 	M 	L 	Q 	G 	0
RSVP_two_streams_bigger_cue_size 	36 	Adi 	 T1 	10 	[1, 0] 	10.0 	Q 	F 	J 	N 	R 	V 	S 	H 	D 	O 	A 	T 	I 	X 	W 	L 	B 	Z 	M 	Y 	E 	G 	C 	K 	P 	U 	F 	K 	Y 	V 	L 	P 	Z 	E 	M 	  	I 	N 	G 	R 	T 	W 	Q 	O 	S 	A 	J 	D 	H 	U 	X 	B 	0
RSVP_two_streams_bigger_cue_size 	37 	Adi 	 T1 	18 	[1, 0] 	3.0 	H 	W 	X 	R 	E 	U 	N 	Q 	T 	M 	L 	K 	Y 	D 	Z 	C 	S 	F 	I 	J 	V 	B 	G 	A 	O 	P 	V 	N 	E 	S 	Q 	C 	O 	L 	Y 	U 	W 	R 	D 	Z 	M 	A 	H 	  	I 	G 	P 	T 	B 	J 	K 	F 	0
RSVP_two_streams_bigger_cue_size 	38 	Adi 	 T1 	14 	[-1, 0] 	3.0 	S 	K 	U 	R 	Z 	M 	E 	C 	H 	N 	L 	J 	O 	Q 	D 	I 	W 	P 	A 	B 	T 	X 	Y 	F 	G 	V 	L 	F 	H 	X 	R 	U 	Q 	A 	O 	M 	T 	J 	Z 	  	V 	D 	G 	Y 	B 	N 	K 	P 	C 	I 	W 	S 	0
RSVP_two_streams_bigger_cue_size 	39 	Adi 	 T1 	22 	[-1, 0] 	10.0 	X 	J 	K 	D 	U 	L 	G 	H 	V 	M 	O 	T 	C 	I 	Q 	S 	B 	F 	W 	R 	Y 	E 	N 	A 	Z 	P 	E 	R 	V 	L 	A 	B 	N 	G 	M 	H 	S 	X 	W 	C 	Z 	F 	I 	K 	P 	D 	O 	  	T 	J 	Q 	Y 	0
RSVP_two_streams_bigger_cue_size 	40 	Adi 	 T1 	10 	[-1, 0] 	3.0 	Z 	L 	Y 	D 	P 	Q 	O 	H 	R 	M 	J 	S 	U 	A 	T 	X 	N 	W 	V 	G 	C 	E 	F 	I 	B 	K 	A 	S 	W 	B 	G 	Q 	E 	Z 	K 	  	U 	T 	L 	F 	V 	X 	J 	N 	D 	R 	H 	C 	P 	O 	I 	M 	0
RSVP_two_streams_bigger_cue_size 	41 	Adi 	 T1 	22 	[1, 0] 	10.0 	A 	E 	C 	X 	M 	P 	N 	G 	W 	V 	H 	D 	R 	Z 	Y 	F 	Q 	I 	S 	T 	K 	L 	B 	U 	O 	J 	O 	L 	Q 	Y 	X 	J 	N 	T 	E 	V 	I 	W 	P 	D 	Z 	U 	A 	H 	G 	C 	K 	  	S 	B 	R 	F 	0
RSVP_two_streams_bigger_cue_size 	42 	Adi 	 T1 	22 	[-1, 0] 	10.0 	P 	F 	J 	T 	C 	W 	L 	Q 	I 	S 	U 	Z 	Y 	V 	D 	E 	R 	B 	M 	H 	G 	K 	A 	X 	O 	N 	H 	J 	C 	R 	Z 	P 	Q 	B 	I 	Y 	L 	S 	D 	W 	G 	O 	E 	K 	A 	X 	M 	  	N 	T 	U 	F 	0
RSVP_two_streams_bigger_cue_size 	43 	Adi 	 T1 	22 	[-1, 0] 	10.0 	U 	J 	T 	S 	C 	G 	Y 	X 	Q 	B 	W 	D 	P 	L 	O 	H 	I 	M 	F 	V 	Z 	K 	A 	R 	E 	N 	G 	B 	C 	W 	Z 	S 	N 	I 	K 	P 	H 	U 	T 	M 	A 	J 	D 	O 	Y 	E 	V 	  	R 	L 	X 	Q 	0
RSVP_two_streams_bigger_cue_size 	44 	Adi 	 T1 	22 	[1, 0] 	10.0 	E 	M 	J 	R 	U 	L 	I 	X 	Z 	O 	H 	Y 	S 	P 	T 	Q 	W 	K 	N 	G 	D 	B 	C 	A 	V 	F 	V 	H 	M 	N 	Y 	D 	Q 	J 	L 	S 	P 	I 	A 	U 	X 	O 	Z 	W 	C 	K 	B 	  	T 	R 	E 	F 	0
RSVP_two_streams_bigger_cue_size 	45 	Adi 	 T1 	22 	[-1, 0] 	3.0 	J 	H 	O 	M 	F 	P 	N 	I 	T 	K 	G 	W 	U 	A 	X 	B 	C 	Q 	D 	S 	R 	E 	L 	Y 	V 	Z 	S 	N 	R 	I 	F 	Z 	O 	X 	U 	K 	C 	G 	J 	P 	V 	T 	E 	Q 	A 	M 	B 	  	W 	D 	H 	Y 	0
RSVP_two_streams_bigger_cue_size 	46 	Adi 	 T1 	6 	[-1, 0] 	3.0 	R 	U 	X 	H 	L 	D 	Z 	G 	S 	N 	C 	W 	K 	F 	Q 	J 	A 	O 	V 	P 	I 	M 	B 	E 	Y 	T 	Z 	C 	I 	Y 	O 	  	R 	X 	T 	J 	A 	Q 	P 	B 	U 	S 	G 	M 	F 	N 	V 	H 	K 	L 	D 	W 	0
RSVP_two_streams_bigger_cue_size 	47 	Adi 	 T1 	10 	[-1, 0] 	3.0 	L 	V 	A 	D 	N 	H 	U 	T 	K 	R 	B 	P 	J 	M 	E 	Z 	F 	W 	Q 	X 	O 	Y 	G 	S 	C 	I 	C 	E 	V 	T 	M 	K 	W 	Q 	X 	  	D 	B 	I 	G 	Y 	U 	O 	H 	A 	P 	S 	F 	L 	R 	J 	N 	0
RSVP_two_streams_bigger_cue_size 	48 	Adi 	 T1 	10 	[-1, 0] 	10.0 	X 	N 	P 	Z 	M 	W 	K 	A 	S 	B 	F 	R 	E 	H 	O 	G 	J 	I 	Y 	U 	V 	C 	D 	L 	Q 	T 	J 	C 	O 	L 	F 	S 	P 	W 	B 	  	G 	T 	I 	D 	R 	U 	A 	X 	M 	E 	Z 	Q 	N 	V 	K 	Y 	0
RSVP_two_streams_bigger_cue_size 	49 	Adi 	 T1 	14 	[1, 0] 	10.0 	K 	H 	M 	G 	S 	F 	A 	B 	I 	W 	P 	E 	U 	R 	N 	Y 	L 	V 	D 	J 	O 	X 	T 	Z 	Q 	C 	Y 	Z 	I 	J 	T 	Q 	F 	X 	C 	V 	L 	S 	U 	  	N 	W 	R 	G 	E 	P 	D 	O 	A 	H 	B 	M 	0
RSVP_two_streams_bigger_cue_size 	50 	Adi 	 T1 	18 	[-1, 0] 	3.0 	D 	S 	K 	M 	F 	G 	L 	Y 	Q 	J 	I 	T 	W 	A 	R 	O 	E 	H 	N 	U 	C 	P 	X 	V 	B 	Z 	L 	Z 	U 	N 	R 	D 	H 	M 	I 	T 	W 	V 	K 	E 	Y 	P 	S 	  	Q 	J 	G 	C 	A 	O 	B 	X 	0
RSVP_two_streams_bigger_cue_size 	51 	Adi 	 T1 	14 	[1, 0] 	3.0 	Q 	Y 	L 	N 	D 	T 	V 	C 	X 	J 	Z 	R 	P 	U 	W 	E 	B 	G 	S 	M 	K 	F 	A 	O 	H 	I 	J 	I 	O 	M 	N 	V 	G 	H 	K 	F 	E 	W 	U 	  	S 	A 	Q 	B 	Z 	X 	D 	P 	L 	T 	C 	Y 	0
RSVP_two_streams_bigger_cue_size 	52 	Adi 	 T1 	22 	[1, 0] 	3.0 	C 	F 	Y 	X 	S 	W 	B 	I 	T 	D 	V 	R 	Q 	H 	O 	J 	L 	E 	U 	K 	P 	N 	A 	Z 	M 	G 	K 	U 	R 	I 	G 	C 	J 	N 	Q 	H 	Z 	L 	Y 	S 	P 	B 	T 	D 	W 	F 	O 	  	X 	M 	E 	V 	0
RSVP_two_streams_bigger_cue_size 	53 	Adi 	 T1 	18 	[1, 0] 	10.0 	E 	Q 	A 	J 	O 	B 	I 	U 	X 	C 	R 	G 	K 	L 	F 	D 	Y 	Z 	N 	T 	S 	V 	H 	W 	P 	M 	C 	H 	E 	Q 	L 	R 	Z 	V 	M 	S 	I 	X 	A 	P 	U 	F 	T 	  	N 	G 	K 	O 	Y 	B 	D 	W 	0
RSVP_two_streams_bigger_cue_size 	54 	Adi 	 T1 	14 	[-1, 0] 	10.0 	K 	J 	D 	P 	U 	G 	L 	M 	T 	H 	X 	O 	N 	I 	V 	B 	W 	A 	Z 	F 	S 	C 	Y 	Q 	E 	R 	B 	F 	U 	X 	D 	J 	M 	E 	C 	Y 	Q 	Z 	I 	  	R 	G 	V 	L 	O 	W 	S 	H 	P 	T 	A 	K 	0
RSVP_two_streams_bigger_cue_size 	55 	Adi 	 T1 	18 	[1, 0] 	3.0 	J 	T 	H 	C 	I 	P 	Y 	L 	B 	V 	X 	U 	M 	O 	E 	A 	Q 	G 	Z 	D 	R 	K 	S 	F 	N 	W 	X 	F 	D 	M 	I 	K 	B 	S 	A 	E 	G 	R 	J 	Q 	L 	T 	V 	  	Y 	P 	Z 	C 	N 	U 	H 	W 	0
RSVP_two_streams_bigger_cue_size 	56 	Adi 	 T1 	22 	[1, 0] 	3.0 	C 	R 	T 	X 	F 	S 	I 	W 	N 	L 	D 	Q 	Z 	V 	Y 	G 	H 	P 	O 	M 	J 	B 	U 	K 	A 	E 	O 	G 	J 	V 	K 	Y 	N 	X 	Q 	Z 	P 	S 	R 	I 	U 	C 	D 	E 	W 	H 	M 	  	A 	T 	L 	B 	0
RSVP_two_streams_bigger_cue_size 	57 	Adi 	 T1 	6 	[-1, 0] 	3.0 	A 	D 	L 	Z 	V 	J 	Q 	F 	B 	K 	I 	H 	W 	G 	E 	N 	C 	U 	P 	O 	Y 	R 	T 	S 	X 	M 	V 	I 	S 	W 	D 	  	Q 	N 	G 	X 	U 	K 	L 	O 	J 	C 	T 	F 	E 	Y 	A 	Z 	H 	R 	M 	P 	0
RSVP_two_streams_bigger_cue_size 	58 	Adi 	 T1 	6 	[1, 0] 	10.0 	P 	A 	C 	U 	W 	O 	M 	V 	J 	E 	Y 	H 	B 	S 	Q 	K 	X 	G 	F 	L 	N 	I 	D 	R 	T 	Z 	E 	D 	C 	L 	T 	  	F 	M 	V 	Y 	Q 	I 	Z 	G 	R 	X 	P 	K 	H 	U 	N 	B 	W 	A 	S 	O 	0
RSVP_two_streams_bigger_cue_size 	59 	Adi 	 T1 	6 	[1, 0] 	10.0 	N 	S 	B 	U 	X 	Q 	J 	K 	O 	G 	T 	W 	V 	F 	P 	R 	M 	I 	D 	E 	Y 	C 	Z 	A 	L 	H 	I 	V 	M 	N 	P 	  	L 	W 	T 	B 	Q 	J 	H 	R 	K 	U 	Y 	F 	Z 	G 	S 	C 	O 	E 	A 	D 	0
RSVP_two_streams_bigger_cue_size 	60 	Adi 	 T1 	22 	[1, 0] 	10.0 	V 	E 	J 	L 	A 	N 	Y 	F 	I 	U 	S 	B 	R 	M 	H 	K 	W 	D 	Q 	T 	Z 	G 	X 	C 	P 	O 	Z 	R 	E 	K 	J 	P 	Y 	D 	W 	G 	M 	C 	U 	L 	A 	S 	T 	V 	I 	Q 	F 	  	B 	H 	X 	O 	0
RSVP_two_streams_bigger_cue_size 	61 	Adi 	 T1 	10 	[1, 0] 	3.0 	J 	C 	D 	S 	E 	A 	X 	Q 	K 	B 	W 	M 	R 	Z 	T 	G 	N 	U 	I 	V 	F 	Y 	P 	H 	O 	L 	V 	K 	I 	J 	G 	F 	A 	H 	R 	  	W 	P 	E 	S 	O 	Z 	D 	T 	U 	N 	L 	M 	C 	Y 	B 	X 	0
RSVP_two_streams_bigger_cue_size 	62 	Adi 	 T1 	10 	[-1, 0] 	10.0 	J 	Y 	H 	U 	G 	Q 	T 	O 	F 	N 	P 	S 	A 	X 	C 	M 	Z 	B 	E 	L 	K 	I 	R 	W 	D 	V 	M 	Z 	L 	N 	T 	G 	R 	B 	O 	  	X 	P 	U 	V 	J 	A 	W 	C 	I 	S 	E 	K 	D 	Q 	F 	H 	0
