experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlipsmain	0 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	10 	3 	1 	0.0 	-1009.0 	[-2, 0] 	0
main	59 	6 	 T1T2 	 0.0 	10 	4 	5 	0.0 	-1009.0 	15 	6 	2 	0.0 	-1014.0 	[2, 0] 	0
main	60 	6 	 T1T2 	 0.0 	8 	6 	6 	1.0 	-1007.0 	10 	7 	7 	1.0 	-1009.0 	[6, 0] 	0
main	61 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	18 	6 	3 	0.0 	-1017.0 	[6, 0] 	0
main	62 	6 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	16 	9 	8 	0.0 	-1015.0 	[6, 0] 	0
main	63 	6 	 T1T2 	 0.0 	8 	9 	1 	0.0 	-1007.0 	9 	1 	9 	0.0 	-1008.0 	[6, 0] 	0
main	64 	6 	 T1T2 	 0.0 	8 	7 	4 	0.0 	-1007.0 	13 	4 	6 	0.0 	-1012.0 	[6, 0] 	0
main	65 	6 	 T1T2 	 0.0 	14 	9 	9 	1.0 	-1013.0 	16 	0 	0 	1.0 	-1015.0 	[6, 0] 	0
main	66 	6 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	24 	6 	6 	1.0 	-1023.0 	[6, 0] 	0
main	67 	6 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	22 	3 	3 	1.0 	-1021.0 	[6, 0] 	0
main	68 	6 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	15 	4 	4 	1.0 	-1014.0 	[6, 0] 	0
main	69 	6 	 T1T2 	 0.0 	14 	7 	0 	0.0 	-1013.0 	19 	6 	6 	1.0 	-1018.0 	[6, 0] 	0
main	70 	6 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	8 	8 	8 	1.0 	-1007.0 	[6, 0] 	0
main	71 	6 	 T1T2 	 0.0 	6 	4 	2 	0.0 	-1005.0 	16 	8 	8 	1.0 	-1015.0 	[6, 0] 	0
main	72 	6 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	14 	3 	9 	0.0 	-1013.0 	[6, 0] 	0
main	73 	6 	 T1T2 	 0.0 	6 	7 	2 	0.0 	-1005.0 	7 	2 	7 	0.0 	-1006.0 	[6, 0] 	0
main	74 	6 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	11 	2 	3 	0.0 	-1010.0 	[6, 0] 	0
main	75 	6 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	12 	0 	5 	0.0 	-1011.0 	[6, 0] 	0
main	76 	6 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	20 	2 	3 	0.0 	-1019.0 	[6, 0] 	0
main	77 	6 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	18 	3 	3 	1.0 	-1017.0 	[6, 0] 	0
main	78 	6 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	11 	0 	0 	1.0 	-1010.0 	[6, 0] 	0
main	79 	6 	 T1T2 	 0.0 	10 	1 	2 	0.0 	-1009.0 	15 	3 	3 	1.0 	-1014.0 	[6, 0] 	0
main	80 	6 	 T1T2 	 0.0 	8 	6 	1 	0.0 	-1007.0 	10 	7 	5 	0.0 	-1009.0 	[-2, 0] 	1
main	81 	6 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	18 	0 	9 	0.0 	-1017.0 	[-2, 0] 	0
main	82 	6 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	16 	3 	3 	1.0 	-1015.0 	[-2, 0] 	0
main	83 	6 	 T1T2 	 0.0 	8 	8 	2 	0.0 	-1007.0 	9 	2 	8 	0.0 	-1008.0 	[-2, 0] 	0
main	84 	6 	 T1T2 	 0.0 	8 	9 	9 	1.0 	-1007.0 	13 	1 	1 	1.0 	-1012.0 	[-2, 0] 	0
main	85 	6 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	16 	5 	5 	1.0 	-1015.0 	[-2, 0] 	0
main	86 	6 	 T1T2 	 0.0 	14 	2 	8 	0.0 	-1013.0 	24 	1 	1 	1.0 	-1023.0 	[-2, 0] 	0
main	87 	6 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	22 	2 	2 	1.0 	-1021.0 	[-2, 0] 	0
main	88 	6 	 T1T2 	 0.0 	14 	4 	5 	0.0 	-1013.0 	15 	5 	4 	0.0 	-1014.0 	[-2, 0] 	0
main	89 	6 	 T1T2 	 0.0 	14 	6 	6 	1.0 	-1013.0 	19 	9 	4 	0.0 	-1018.0 	[-2, 0] 	0
main	90 	6 	 T1T2 	 0.0 	6 	1 	2 	0.0 	-1005.0 	8 	2 	4 	0.0 	-1007.0 	[-2, 0] 	0
main	91 	6 	 T1T2 	 0.0 	6 	4 	8 	0.0 	-1005.0 	16 	8 	4 	0.0 	-1015.0 	[-2, 0] 	0
main	92 	6 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	14 	1 	1 	1.0 	-1013.0 	[-2, 0] 	0
main	93 	6 	 T1T2 	 0.0 	6 	5 	8 	0.0 	-1005.0 	7 	8 	6 	0.0 	-1006.0 	[-2, 0] 	0
main	94 	6 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	11 	9 	9 	1.0 	-1010.0 	[-2, 0] 	0
main	95 	6 	 T1T2 	 0.0 	10 	4 	3 	0.0 	-1009.0 	12 	3 	9 	0.0 	-1011.0 	[-2, 0] 	0
main	96 	6 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	20 	5 	5 	1.0 	-1019.0 	[-2, 0] 	0
main	97 	6 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	18 	2 	2 	1.0 	-1017.0 	[-2, 0] 	0
main	98 	6 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	11 	8 	8 	1.0 	-1010.0 	[-2, 0] 	0
main	99 	6 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	15 	5 	5 	1.0 	-1014.0 	[-2, 0] 	0
main	100 	6 	 T1T2 	 0.0 	8 	0 	0 	1.0 	-1007.0 	10 	7 	8 	0.0 	-1009.0 	[-6, 0] 	0
main	101 	6 	 T1T2 	 0.0 	8 	6 	6 	1.0 	-1007.0 	18 	3 	4 	0.0 	-1017.0 	[-6, 0] 	0
main	102 	6 	 T1T2 	 0.0 	8 	8 	0 	0.0 	-1007.0 	16 	3 	6 	0.0 	-1015.0 	[-6, 0] 	0
main	103 	6 	 T1T2 	 0.0 	8 	6 	6 	1.0 	-1007.0 	9 	1 	1 	1.0 	-1008.0 	[-6, 0] 	0
main	104 	6 	 T1T2 	 0.0 	8 	0 	1 	0.0 	-1007.0 	13 	1 	4 	0.0 	-1012.0 	[-6, 0] 	0
main	105 	6 	 T1T2 	 0.0 	14 	7 	5 	0.0 	-1013.0 	16 	5 	6 	0.0 	-1015.0 	[-6, 0] 	0
main	106 	6 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	24 	0 	0 	1.0 	-1023.0 	[-6, 0] 	0
main	107 	6 	 T1T2 	 0.0 	14 	8 	4 	0.0 	-1013.0 	22 	1 	8 	0.0 	-1021.0 	[-6, 0] 	0
main	108 	6 	 T1T2 	 0.0 	14 	2 	4 	0.0 	-1013.0 	15 	4 	2 	0.0 	-1014.0 	[-6, 0] 	0
main	109 	6 	 T1T2 	 0.0 	14 	4 	9 	0.0 	-1013.0 	19 	7 	2 	0.0 	-1018.0 	[-6, 0] 	0
main	110 	6 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	8 	8 	8 	1.0 	-1007.0 	[-6, 0] 	0
main	111 	6 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	16 	6 	7 	0.0 	-1015.0 	[-6, 0] 	0
main	112 	6 	 T1T2 	 0.0 	6 	9 	3 	0.0 	-1005.0 	14 	2 	5 	0.0 	-1013.0 	[-6, 0] 	0
main	113 	6 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	7 	7 	7 	1.0 	-1006.0 	[-6, 0] 	0
main	114 	6 	 T1T2 	 0.0 	6 	2 	2 	1.0 	-1005.0 	11 	4 	4 	1.0 	-1010.0 	[-6, 0] 	0
main	115 	6 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	12 	0 	3 	0.0 	-1011.0 	[-6, 0] 	0
main	116 	6 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	20 	8 	8 	1.0 	-1019.0 	[-6, 0] 	0
main	117 	6 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	18 	9 	9 	1.0 	-1017.0 	[-6, 0] 	0
main	118 	6 	 T1T2 	 0.0 	10 	0 	4 	0.0 	-1009.0 	11 	4 	0 	0.0 	-1010.0 	[-6, 0] 	0
main	119 	6 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	15 	1 	1 	1.0 	-1014.0 	[-6, 0] 	0
main	120 	6 	 T1T2 	 0.0 	8 	0 	8 	0.0 	-1007.0 	10 	8 	1 	0.0 	-1009.0 	[2, 0] 	0
main	121 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	18 	4 	4 	1.0 	-1017.0 	[2, 0] 	0
main	122 	6 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	16 	3 	3 	1.0 	-1015.0 	[2, 0] 	0
main	123 	6 	 T1T2 	 0.0 	8 	5 	0 	0.0 	-1007.0 	9 	0 	5 	0.0 	-1008.0 	[2, 0] 	0
