experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,answerPos1,answer1,response1,correct1,responsePosRelative1,spatialPos,timingBlips
main,88,2, T1T2 ,0,6,2,2,1,-1005,11,8,8,1,-1010,"[2, 0] ",0
main,89,2, T1T2 ,0,6,9,9,1,-1005,14,4,4,1,-1013,"[2, 0] ",0
main,90,2, T1T2 ,0,14,3,3,1,-1013,24,1,1,1,-1023,"[2, 0] ",0
main,91,2, T1T2 ,0,14,9,3,0,-1013,15,4,4,1,-1014,"[2, 0] ",0
main,92,2, T1T2 ,0,14,8,8,1,-1013,16,2,2,1,-1015,"[2, 0] ",0
main,93,2, T1T2 ,0,14,0,0,1,-1013,19,1,4,0,-1018,"[2, 0] ",0
main,94,2, T1T2 ,0,14,2,4,0,-1013,22,6,3,0,-1021,"[2, 0] ",0
main,95,2, T1T2 ,0,10,3,3,1,-1009,20,5,5,1,-1019,"[2, 0] ",0
main,96,2, T1T2 ,0,10,0,0,1,-1009,11,1,1,1,-1010,"[2, 0] ",0
main,97,2, T1T2 ,0,10,7,6,0,-1009,12,6,7,0,-1011,"[2, 0] ",0
main,98,2, T1T2 ,0,10,9,9,1,-1009,15,0,1,0,-1014,"[2, 0] ",0
main,99,2, T1T2 ,0,10,7,7,1,-1009,18,4,4,1,-1017,"[2, 0] ",0
main,100,2, T1T2 ,0,8,6,6,1,-1007,18,8,8,1,-1017,"[-2, 0] ",0
main,101,2, T1T2 ,0,8,0,4,0,-1007,9,4,2,0,-1008,"[-2, 0] ",0
main,102,2, T1T2 ,0,8,7,7,1,-1007,10,0,1,0,-1009,"[-2, 0] ",0
main,103,2, T1T2 ,0,8,0,4,0,-1007,13,8,8,1,-1012,"[-2, 0] ",0
main,104,2, T1T2 ,0,8,3,3,1,-1007,16,9,9,1,-1015,"[-2, 0] ",0
main,105,2, T1T2 ,0,6,8,8,1,-1005,16,1,1,1,-1015,"[-2, 0] ",0
main,106,2, T1T2 ,0,6,5,5,1,-1005,7,0,7,0,-1006,"[-2, 0] ",0
main,107,2, T1T2 ,0,6,7,7,1,-1005,8,1,8,0,-1007,"[-2, 0] ",0
main,108,2, T1T2 ,0,6,9,9,1,-1005,11,1,1,1,-1010,"[-2, 0] ",0
main,109,2, T1T2 ,0,6,2,2,1,-1005,14,6,6,1,-1013,"[-2, 0] ",0
main,110,2, T1T2 ,0,14,0,2,0,-1013,24,8,8,1,-1023,"[-2, 0] ",0
main,111,2, T1T2 ,0,14,4,0,0,-1013,15,0,4,0,-1014,"[-2, 0] ",0
main,112,2, T1T2 ,0,14,5,5,1,-1013,16,9,4,0,-1015,"[-2, 0] ",0
main,113,2, T1T2 ,0,14,7,7,1,-1013,19,9,8,0,-1018,"[-2, 0] ",0
main,114,2, T1T2 ,0,14,7,8,0,-1013,22,2,9,0,-1021,"[-2, 0] ",0
main,115,2, T1T2 ,0,10,1,1,1,-1009,20,2,2,1,-1019,"[-2, 0] ",0
main,116,2, T1T2 ,0,10,3,3,1,-1009,11,8,8,1,-1010,"[-2, 0] ",0
main,117,2, T1T2 ,0,10,1,1,1,-1009,12,3,0,0,-1011,"[-2, 0] ",0
main,118,2, T1T2 ,0,10,5,5,1,-1009,15,8,8,1,-1014,"[-2, 0] ",0
main,119,2, T1T2 ,0,10,7,7,1,-1009,18,9,9,1,-1017,"[-2, 0] ",0
main,120,2, T1T2 ,0,8,0,0,1,-1007,18,5,5,1,-1017,"[6, 0] ",0
main,121,2, T1T2 ,0,8,1,1,1,-1007,9,9,9,1,-1008,"[6, 0] ",0
main,122,2, T1T2 ,0,8,6,6,1,-1007,10,7,7,1,-1009,"[6, 0] ",0
