experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
main	81 	13 	 T1T2 	 0.0 	14 	1 	4 	0.0 	-1013.0 	16 	4 	2 	0.0 	-1015.0 	[6, 0] 	0
main	82 	13 	 T1T2 	 0.0 	14 	9 	4 	0.0 	-1013.0 	15 	4 	0 	0.0 	-1014.0 	[6, 0] 	0
main	83 	13 	 T1T2 	 0.0 	14 	2 	4 	0.0 	-1013.0 	19 	7 	2 	0.0 	-1018.0 	[6, 0] 	0
main	84 	13 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	22 	3 	3 	1.0 	-1021.0 	[6, 0] 	0
main	85 	13 	 T1T2 	 0.0 	8 	1 	0 	0.0 	-1007.0 	18 	7 	7 	1.0 	-1017.0 	[6, 0] 	0
main	86 	13 	 T1T2 	 0.0 	8 	5 	3 	0.0 	-1007.0 	10 	3 	7 	0.0 	-1009.0 	[6, 0] 	0
main	87 	13 	 T1T2 	 0.0 	8 	2 	5 	0.0 	-1007.0 	9 	5 	0 	0.0 	-1008.0 	[6, 0] 	0
main	88 	13 	 T1T2 	 0.0 	8 	5 	8 	0.0 	-1007.0 	13 	8 	5 	0.0 	-1012.0 	[6, 0] 	0
main	89 	13 	 T1T2 	 0.0 	8 	8 	7 	0.0 	-1007.0 	16 	9 	0 	0.0 	-1015.0 	[6, 0] 	0
main	90 	13 	 T1T2 	 0.0 	6 	6 	8 	0.0 	-1005.0 	16 	4 	9 	0.0 	-1015.0 	[6, 0] 	0
main	91 	13 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	8 	6 	4 	0.0 	-1007.0 	[6, 0] 	0
main	92 	13 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	7 	1 	1 	1.0 	-1006.0 	[6, 0] 	0
main	93 	13 	 T1T2 	 0.0 	6 	5 	2 	0.0 	-1005.0 	11 	9 	3 	0.0 	-1010.0 	[6, 0] 	0
main	94 	13 	 T1T2 	 0.0 	6 	6 	3 	0.0 	-1005.0 	14 	3 	0 	0.0 	-1013.0 	[6, 0] 	0
main	95 	13 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	20 	8 	8 	1.0 	-1019.0 	[6, 0] 	0
main	96 	13 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	12 	7 	0 	0.0 	-1011.0 	[6, 0] 	0
main	97 	13 	 T1T2 	 0.0 	10 	8 	1 	0.0 	-1009.0 	11 	1 	8 	0.0 	-1010.0 	[6, 0] 	0
