experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	timingBlips
main	162 	Adi 	 T1 	 0.0 	10 	H 	T 	0.0 	-1.0 	0
main	163 	Adi 	 T1 	 0.0 	6 	K 	K 	1.0 	0.0 	0
main	164 	Adi 	 T1 	 0.0 	7 	X 	C 	0.0 	-1.0 	0
main	165 	Adi 	 T1 	 0.0 	8 	E 	E 	1.0 	0.0 	0
main	166 	Adi 	 T1 	 0.0 	7 	E 	E 	1.0 	0.0 	0
main	167 	Adi 	 T1 	 0.0 	6 	J 	J 	1.0 	0.0 	0
main	168 	Adi 	 T1 	 0.0 	9 	Q 	P 	0.0 	-1.0 	0
main	169 	Adi 	 T1 	 0.0 	9 	J 	A 	0.0 	11.0 	0
main	170 	Adi 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	0
main	171 	Adi 	 T1 	 0.0 	6 	J 	P 	0.0 	1.0 	0
main	172 	Adi 	 T1 	 0.0 	10 	O 	N 	0.0 	3.0 	0
main	173 	Adi 	 T1 	 0.0 	8 	S 	S 	1.0 	0.0 	0
main	174 	Adi 	 T1 	 0.0 	7 	E 	X 	0.0 	-1.0 	0
main	175 	Adi 	 T1 	 0.0 	9 	Q 	I 	0.0 	-1.0 	0
main	176 	Adi 	 T1 	 0.0 	7 	V 	C 	0.0 	1.0 	0
main	177 	Adi 	 T1 	 0.0 	9 	I 	K 	0.0 	-1.0 	0
main	178 	Adi 	 T1 	 0.0 	8 	S 	S 	1.0 	0.0 	0
main	179 	Adi 	 T1 	 0.0 	7 	T 	P 	0.0 	-1.0 	0
main	180 	Adi 	 T1 	 0.0 	10 	G 	P 	0.0 	-1.0 	0
main	181 	Adi 	 T1 	 0.0 	8 	D 	D 	1.0 	0.0 	0
main	182 	Adi 	 T1 	 0.0 	9 	J 	J 	1.0 	0.0 	0
main	183 	Adi 	 T1 	 0.0 	6 	V 	V 	1.0 	0.0 	0
main	184 	Adi 	 T1 	 0.0 	10 	J 	J 	1.0 	0.0 	0
main	185 	Adi 	 T1 	 0.0 	9 	K 	W 	0.0 	-1.0 	0
main	186 	Adi 	 T1 	 0.0 	10 	I 	I 	1.0 	0.0 	0
main	187 	Adi 	 T1 	 0.0 	6 	Y 	Y 	1.0 	0.0 	0
main	188 	Adi 	 T1 	 0.0 	6 	C 	C 	1.0 	0.0 	0
main	189 	Adi 	 T1 	 0.0 	7 	P 	P 	1.0 	0.0 	0
main	190 	Adi 	 T1 	 0.0 	10 	L 	I 	0.0 	-1.0 	0
main	191 	Adi 	 T1 	 0.0 	7 	A 	E 	0.0 	2.0 	0
main	192 	Adi 	 T1 	 0.0 	9 	Q 	R 	0.0 	-7.0 	0
main	193 	Adi 	 T1 	 0.0 	6 	N 	N 	1.0 	0.0 	0
main	194 	Adi 	 T1 	 0.0 	7 	D 	S 	0.0 	-1.0 	0
main	195 	Adi 	 T1 	 0.0 	8 	M 	M 	1.0 	0.0 	0
main	196 	Adi 	 T1 	 0.0 	6 	N 	U 	0.0 	-1.0 	0
main	197 	Adi 	 T1 	 0.0 	10 	L 	E 	0.0 	1.0 	0
main	198 	Adi 	 T1 	 0.0 	8 	L 	I 	0.0 	-2.0 	0
main	199 	Adi 	 T1 	 0.0 	8 	M 	M 	1.0 	0.0 	0
